hierarchyId	pCFID	name	verb	object	filePath
8.7.2.2	20875	Define IT service support portfolio	Define	IT Service Support Portfolio	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.2-DefineAndDevelopServiceSupportStrategy/20875-DefineItServiceSupportPortfolio.mdx
8.7.2.3	20876	Create and maintain IT support model	Create	And Maintain IT Support Model	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.2-DefineAndDevelopServiceSupportStrategy/20876-CreateAndMaintainItSupportModel.mdx
8.7.2.4	20877	Develop IT support service sourcing strategy	Develop	IT Support Service Sourcing Strategy	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.2-DefineAndDevelopServiceSupportStrategy/20877-DevelopItSupportServiceSourcingStrategy.mdx
8.7.2.5	20878	Establish support service framework	Establish	Support Service Framework	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.2-DefineAndDevelopServiceSupportStrategy/20878-EstablishSupportServiceFramework.mdx
8.7.2.6	20879	Provide service support tools and technology	Provide	Service Support Tools And Technology	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.2-DefineAndDevelopServiceSupportStrategy/20879-ProvideServiceSupportToolsAndTechnology.mdx
8.7.3	20880	Plan and manage service delivery control	Plan	And Manage Service Delivery Control	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/index.mdx
8.7.3.1	20881	Plan operational activities for IT service delivery	Plan	Operational Activities For IT Service Delivery	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/index.mdx
8.7.3.1.1	20882	Schedule service delivery resources	Schedule	Service Delivery Resources	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/20882-ScheduleServiceDeliveryResources.mdx
8.7.3.1.2	20883	Maintain/optimize batch job schedule	Maintain/optimize	Batch Job Schedule	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/20883-MaintainOptimizeBatchJobSchedule.mdx
8.7.3.1.3	20884	Schedule change/release windows	Schedule	Change/release Windows	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/20884-ScheduleChangeReleaseWindows.mdx
8.7.3.1.4	20885	Schedule/optimize backup and archive activities	Schedule/optimize	Backup And Archive Activities	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/20885-ScheduleOptimizeBackupAndArchiveActivities.mdx
8.7.3.1.5	20886	Balance operational workloads across available infrastructure components	Balance	Operational Workloads Across Available Infrastructure Components	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/20886-BalanceOperationalWorkloadsAcrossAvailableInfrastructureComponents.mdx
8.7.3.1.6	20887	Determine specific problem support procedures	Determine	Specific Problem Support Procedures	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.3-PlanAndManageServiceDeliveryControl/8.7.3.1-PlanOperationalActivitiesForItServiceDelivery/20887-DetermineSpecificProblemSupportProcedures.mdx
8.7.4	20888	Develop and manage infrastructure resource planning	Develop	And Manage Infrastructure Resource Planning	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.4-DevelopAndManageInfrastructureResourcePlanning/index.mdx
8.7.4.1	20889	Develop IT service delivery strategy	Develop	IT Service Delivery Strategy	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.4-DevelopAndManageInfrastructureResourcePlanning/20889-DevelopItServiceDeliveryStrategy.mdx
8.7.4.2	20890	Assess IT infrastructure business objectives	Assess	IT Infrastructure Business Objectives	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.4-DevelopAndManageInfrastructureResourcePlanning/20890-AssessItInfrastructureBusinessObjectives.mdx
8.7.4.3	20891	Determine ongoing IT infrastructure capabilities	Determine	Ongoing IT Infrastructure Capabilities	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.4-DevelopAndManageInfrastructureResourcePlanning/20891-DetermineOngoingItInfrastructureCapabilities.mdx
