hierarchyId	pCFID	name	verb	object	filePath
9.7.6.4	11211	Manage exposure risk	Manage	Exposure Risk	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.4-ManageExposureRisk/index.mdx
9.7.6.4.1	19584	Determine current customer exposures and limit exceptions	Determine	Current Customer Exposures And Limit Exceptions	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.4-ManageExposureRisk/19584-DetermineCurrentCustomerExposuresAndLimitExceptions.mdx
9.7.6.4.2	19585	Resolve customer exposure limit violations	Resolve	Customer Exposure Limit Violations	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.4-ManageExposureRisk/19585-ResolveCustomerExposureLimitViolations.mdx
9.7.6.4.3	19586	Manage customer collateral	Manage	Customer Collateral	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.4-ManageExposureRisk/19586-ManageCustomerCollateral.mdx
9.7.6.4.4	19587	Perform annual customer credit reviews	Perform	Annual Customer Credit Reviews	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.4-ManageExposureRisk/19587-PerformAnnualCustomerCreditReviews.mdx
9.7.6.5	20137	Execute hedging transactions	Execute	Hedging Transactions	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.5-ExecuteHedgingTransactions/index.mdx
9.7.6.5.1	19588	Measure physical positions	Measure	Physical Positions	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.5-ExecuteHedgingTransactions/19588-MeasurePhysicalPositions.mdx
9.7.6.5.2	19589	Establish hedges	Establish	Hedges	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.5-ExecuteHedgingTransactions/19589-EstablishHedges.mdx
9.7.6.5.3	19590	Unwind hedges	Unwind	Hedges	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.5-ExecuteHedgingTransactions/19590-UnwindHedges.mdx
9.7.6.5.4	11213	Evaluate and refine hedging positions	Evaluate	And Refine Hedging Positions	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.5-ExecuteHedgingTransactions/11213-EvaluateAndRefineHedgingPositions.mdx
9.7.6.5.5	11215	Monitor credit	Monitor	Credit	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/9.7.6.5-ExecuteHedgingTransactions/11215-MonitorCredit.mdx
9.7.6.6	11214	Produce hedge accounting transactions and reports	Produce	Hedge Accounting Transactions And Reports	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.6-MonitorAndExecuteRiskAndHedgingTransactions/11214-ProduceHedgeAccountingTransactionsAndReports.mdx
9.7.7	16958	Manage financial fraud/dispute cases	Manage	Financial Fraud/dispute Cases	09-ManageFinancialResources/9.7-ManageTreasuryOperations/9.7.7-ManageFinancialFraudDisputeCases/16958-ManageFinancialFraudDisputeCases.mdx
9.8	10735	Manage internal controls	Manage	Internal Controls	09-ManageFinancialResources/9.8-ManageInternalControls/index.mdx
9.8.1	10762	Establish internal controls, policies, and procedures	Establish	Internal Controls, Policies, And Procedures	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.1-EstablishInternalControlsPoliciesAndProcedures/index.mdx
9.8.1.1	10914	Establish board of directors and audit committee	Establish	Board Of Directors And Audit Committee	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.1-EstablishInternalControlsPoliciesAndProcedures/10914-EstablishBoardOfDirectorsAndAuditCommittee.mdx
9.8.1.2	10915	Define and communicate code of ethics	Define	And Communicate Code Of Ethics	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.1-EstablishInternalControlsPoliciesAndProcedures/10915-DefineAndCommunicateCodeOfEthics.mdx
9.8.1.3	10916	Assign roles and responsibility for internal controls	Assign	Roles And Responsibility For Internal Controls	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.1-EstablishInternalControlsPoliciesAndProcedures/10916-AssignRolesAndResponsibilityForInternalControls.mdx
9.8.1.4	11250	Define business process objectives and risks	Define	Business Process Objectives And Risks	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.1-EstablishInternalControlsPoliciesAndProcedures/11250-DefineBusinessProcessObjectivesAndRisks.mdx
9.8.1.5	11251	Define entity/unit risk tolerances	Define	Entity/unit Risk Tolerances	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.1-EstablishInternalControlsPoliciesAndProcedures/11251-DefineEntityUnitRiskTolerances.mdx
9.8.2	10763	Operate controls and monitor compliance with internal controls policies and procedures	Operate	Controls And Monitor Compliance With Internal Controls Policies And Procedures	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/index.mdx
9.8.2.1	10917	Design and implement control activities	Design	And Implement Control Activities	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/10917-DesignAndImplementControlActivities.mdx
9.8.2.2	10918	Monitor control effectiveness	Monitor	Control Effectiveness	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/10918-MonitorControlEffectiveness.mdx
9.8.2.3	10919	Remediate control deficiencies	Remediate	Control Deficiencies	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/10919-RemediateControlDeficiencies.mdx
9.8.2.4	10920	Create compliance function	Create	Compliance Function	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/10920-CreateComplianceFunction.mdx
9.8.2.5	10921	Operate compliance function	Operate	Compliance Function	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/10921-OperateComplianceFunction.mdx
9.8.2.6	10922	Implement and maintain controls-related enabling technologies and tools	Implement	And Maintain Controls-related Enabling Technologies And Tools	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.2-OperateControlsAndMonitorComplianceWithInternalControlsPoliciesAndProcedures/10922-ImplementAndMaintainControlsRelatedEnablingTechnologiesAndTools.mdx
9.8.3	11641	Manage and monitor compliance function	Manage	And Monitor Compliance Function	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.3-ManageAndMonitorComplianceFunction/index.mdx
9.8.3.1	11642	Develop audit and compliance plan	Develop	Audit And Compliance Plan	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.3-ManageAndMonitorComplianceFunction/11642-DevelopAuditAndCompliancePlan.mdx
