hierarchyId	pCFID	name	verb	object	filePath
9.3.2	10748	Perform general accounting	Perform	General Accounting	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/index.mdx
9.3.2.1	10819	Maintain chart of accounts	Maintain	Chart Of Accounts	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10819-MaintainChartOfAccounts.mdx
9.3.2.2	10820	Process journal entries	Process	Journal Entries	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10820-ProcessJournalEntries.mdx
9.3.2.3	10821	Process allocations	Process	Allocations	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10821-ProcessAllocations.mdx
9.3.2.4	10822	Process period end adjustments	Process	Period End Adjustments	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10822-ProcessPeriodEndAdjustments.mdx
9.3.2.5	10823	Post and reconcile intercompany transactions	Post	And Reconcile Intercompany Transactions	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10823-PostAndReconcileIntercompanyTransactions.mdx
9.3.2.6	10824	Reconcile general ledger accounts	Reconcile	General Ledger Accounts	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10824-ReconcileGeneralLedgerAccounts.mdx
9.3.2.7	10825	Perform consolidations and process eliminations	Perform	Consolidations And Process Eliminations	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10825-PerformConsolidationsAndProcessEliminations.mdx
9.3.2.8	10826	Prepare trial balance	Prepare	Trial Balance	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10826-PrepareTrialBalance.mdx
9.3.2.9	10827	Prepare and post management adjustments	Prepare	And Post Management Adjustments	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.2-PerformGeneralAccounting/10827-PrepareAndPostManagementAdjustments.mdx
9.3.3	10749	Perform fixed-asset accounting	Perform	Fixed-asset Accounting	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/index.mdx
9.3.3.1	10828	Establish fixed-asset policies and procedures	Establish	Fixed-asset Policies And Procedures	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10828-EstablishFixedAssetPoliciesAndProcedures.mdx
9.3.3.2	11631	Establish (tax and book) depreciation policies	Establish	(tax And Book) Depreciation Policies	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/11631-EstablishTaxAndBookDepreciationPolicies.mdx
9.3.3.3	10829	Maintain fixed-asset master data files	Maintain	Fixed-asset Master Data Files	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10829-MaintainFixedAssetMasterDataFiles.mdx
9.3.3.4	10830	Process and record fixed-asset additions and retires	Process	And Record Fixed-asset Additions And Retires	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10830-ProcessAndRecordFixedAssetAdditionsAndRetires.mdx
9.3.3.5	10831	Process and record fixed-asset adjustments, enhancements, revaluations, and transfers	Process	And Record Fixed-asset Adjustments, Enhancements, Revaluations, And Transfers	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10831-ProcessAndRecordFixedAssetAdjustmentsEnhancementsRevaluationsAndTransfers.mdx
9.3.3.6	10832	Process and record fixed-asset maintenance and repair expenses	Process	And Record Fixed-asset Maintenance And Repair Expenses	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10832-ProcessAndRecordFixedAssetMaintenanceAndRepairExpenses.mdx
9.3.3.7	10833	Calculate and record depreciation expense	Calculate	And Record Depreciation Expense	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10833-CalculateAndRecordDepreciationExpense.mdx
9.3.3.8	10834	Reconcile fixed-asset ledger	Reconcile	Fixed-asset Ledger	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10834-ReconcileFixedAssetLedger.mdx
9.3.3.9	10835	Track fixed-assets including physical inventory	Track	Fixed-assets Including Physical Inventory	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10835-TrackFixedAssetsIncludingPhysicalInventory.mdx
9.3.3.10	10836	Provide fixed-asset data to support tax, statutory, and regulatory reporting	Provide	Fixed-asset Data To Support Tax, Statutory, And Regulatory Reporting	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.3-PerformFixedAssetAccounting/10836-ProvideFixedAssetDataToSupportTaxStatutoryAndRegulatoryReporting.mdx
9.3.4	10750	Perform financial reporting	Perform	Financial Reporting	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/index.mdx
9.3.4.1	10837	Prepare business unit financial statements	Prepare	Business Unit Financial Statements	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10837-PrepareBusinessUnitFinancialStatements.mdx
9.3.4.2	10838	Prepare consolidated financial statements	Prepare	Consolidated Financial Statements	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10838-PrepareConsolidatedFinancialStatements.mdx
9.3.4.3	10839	Perform business unit reporting/review management reports	Perform	Business Unit Reporting/review Management Reports	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10839-PerformBusinessUnitReportingReviewManagementReports.mdx
9.3.4.4	10840	Perform consolidated reporting/review of cost management reports	Perform	Consolidated Reporting/review Of Cost Management Reports	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10840-PerformConsolidatedReportingReviewOfCostManagementReports.mdx
9.3.4.5	10841	Prepare statements for board review	Prepare	Statements For Board Review	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10841-PrepareStatementsForBoardReview.mdx
9.3.4.6	10842	Produce quarterly/annual filings and shareholder reports	Produce	Quarterly/annual Filings And Shareholder Reports	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10842-ProduceQuarterlyAnnualFilingsAndShareholderReports.mdx
9.3.4.7	10843	Produce regulatory reports	Produce	Regulatory Reports	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/10843-ProduceRegulatoryReports.mdx
9.3.4.8	14074	Perform legal and management consolidation	Perform	Legal And Management Consolidation	09-ManageFinancialResources/9.3-PerformGeneralAccountingAndReporting/9.3.4-PerformFinancialReporting/14074-PerformLegalAndManagementConsolidation.mdx
9.4	10731	Manage fixed-asset project accounting	Manage	Fixed-asset Project Accounting	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/index.mdx
9.4.1	10751	Perform capital planning and project approval	Perform	Capital Planning And Project Approval	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.1-PerformCapitalPlanningAndProjectApproval/index.mdx
9.4.1.1	10844	Develop capital investment policies and procedures	Develop	Capital Investment Policies And Procedures	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.1-PerformCapitalPlanningAndProjectApproval/10844-DevelopCapitalInvestmentPoliciesAndProcedures.mdx
9.4.1.2	10845	Develop and approve capital expenditure plans and budgets	Develop	And Approve Capital Expenditure Plans And Budgets	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.1-PerformCapitalPlanningAndProjectApproval/10845-DevelopAndApproveCapitalExpenditurePlansAndBudgets.mdx
9.4.1.3	10846	Review and approve capital projects and fixed-asset acquisitions	Review	And Approve Capital Projects And Fixed-asset Acquisitions	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.1-PerformCapitalPlanningAndProjectApproval/10846-ReviewAndApproveCapitalProjectsAndFixedAssetAcquisitions.mdx
9.4.1.4	10847	Conduct financial justification for project approval	Conduct	Financial Justification For Project Approval	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.1-PerformCapitalPlanningAndProjectApproval/10847-ConductFinancialJustificationForProjectApproval.mdx
9.4.2	10752	Perform capital project accounting	Perform	Capital Project Accounting	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.2-PerformCapitalProjectAccounting/index.mdx
9.4.2.1	10848	Create project account codes	Create	Project Account Codes	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.2-PerformCapitalProjectAccounting/10848-CreateProjectAccountCodes.mdx
9.4.2.2	10849	Record project-related transactions	Record	Project-related Transactions	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.2-PerformCapitalProjectAccounting/10849-RecordProjectRelatedTransactions.mdx
9.4.2.3	10850	Monitor and track capital projects and budget spending	Monitor	And Track Capital Projects And Budget Spending	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.2-PerformCapitalProjectAccounting/10850-MonitorAndTrackCapitalProjectsAndBudgetSpending.mdx
9.4.2.4	10851	Close/capitalize projects	Close/capitalize	Projects	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.2-PerformCapitalProjectAccounting/10851-CloseCapitalizeProjects.mdx
9.4.2.5	10852	Measure financial returns on completed capital projects	Measure	Financial Returns On Completed Capital Projects	09-ManageFinancialResources/9.4-ManageFixedAssetProjectAccounting/9.4.2-PerformCapitalProjectAccounting/10852-MeasureFinancialReturnsOnCompletedCapitalProjects.mdx
9.5	10732	Process payroll	Process	Payroll	09-ManageFinancialResources/9.5-ProcessPayroll/index.mdx
9.5.1	10753	Report time	Report	Time	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.1-ReportTime/index.mdx
9.5.1.1	10853	Establish policies and procedures	Establish	Policies And Procedures	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.1-ReportTime/10853-EstablishPoliciesAndProcedures.mdx
9.5.1.2	10854	Collect and record employee time worked	Collect	And Record Employee Time Worked	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.1-ReportTime/10854-CollectAndRecordEmployeeTimeWorked.mdx
9.5.1.3	10855	Analyze and report paid and unpaid leave	Analyze	And Report Paid And Unpaid Leave	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.1-ReportTime/10855-AnalyzeAndReportPaidAndUnpaidLeave.mdx
9.5.1.4	10856	Monitor regular, overtime, and other hours	Monitor	Regular, Overtime, And Other Hours	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.1-ReportTime/10856-MonitorRegularOvertimeAndOtherHours.mdx
9.5.1.5	10857	Analyze and report employee utilization	Analyze	And Report Employee Utilization	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.1-ReportTime/10857-AnalyzeAndReportEmployeeUtilization.mdx
9.5.2	10754	Manage pay	Manage	Pay	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/index.mdx
9.5.2.1	10858	Enter employee time worked into payroll system	Enter	Employee Time Worked Into Payroll System	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10858-EnterEmployeeTimeWorkedIntoPayrollSystem.mdx
9.5.2.2	10859	Maintain and administer employee earnings information	Maintain	And Administer Employee Earnings Information	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10859-MaintainAndAdministerEmployeeEarningsInformation.mdx
9.5.2.3	10860	Maintain and administer applicable deductions	Maintain	And Administer Applicable Deductions	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10860-MaintainAndAdministerApplicableDeductions.mdx
9.5.2.4	10861	Monitor changes in tax status of employees	Monitor	Changes In Tax Status Of Employees	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10861-MonitorChangesInTaxStatusOfEmployees.mdx
